डेढ़	1	5
ढाई	2	5
साढ़े एक	1	5
साढ़े दो	2	5
साढ़े तीन	3	5
साढ़े चार	4	5
साढ़े पाँच	5	5
साढ़े छह	6	5
साढ़े सात	7	5
साढ़े आठ	8	5
साढ़े नौ	9	5
साढ़े दस	10	5
साढ़े ग्यारह	11	5
साढ़े बारह	12	5
सवा एक	1	25
सवा दो	2	25
सवा तीन	3	25
सवा चार	4	25
सवा पाँच	5	25
सवा छह	6	25
सवा सात	7	25
सवा आठ	8	25
सवा नौ	9	25
सवा दस	10	25
सवा ग्यारह	11	25
सवा बारह	12	25
पौने एक	0	75
पौने दो	1	75
पौने तीन	2	75
पौने चार	3	75
पौने पाँच	4	75
पौने छह	5	75
पौने सात	6	75
पौने आठ	7	75
पौने नौ	8	75
पौने दस	9	75
पौने ग्यारह	10	75
पौने बारह	11	75
